COLOR WI,COLOR YI,ODOR LVL,VOLATILE,Antiblock Type,,AO2 Type,,AO1,AO2/AO1 Ratio,Acid Scavenger,Slip Agent,Gels Performance,,,,
,,,,,,,,,,,,FE-S,FE-M,FE-L,Defect Area,Judgement
,,,,Silton,AB-GASIL,IRG-168,W399,Ir-1076,,ZNST,errucamide,,,,,
53.240,-4.940,2.000,0.009,0.255,0.000,0.096,0.000,0.050,1.920,0.050,0.090,2.200,0.300,0.000,1.060,Low Gel
52.040,-4.620,2.000,0.009,0.257,0.000,0.096,0.000,0.051,1.882,0.051,0.094,2.000,0.300,0.000,0.850,Low Gel
51.650,-4.840,2.000,0.011,0.258,0.000,0.097,0.000,0.050,1.940,0.050,0.102,1.700,0.200,0.000,0.690,Low Gel
53.250,-4.940,2.000,0.010,0.257,0.000,0.096,0.000,0.049,1.959,0.049,0.118,1.500,0.200,0.000,0.630,Low Gel
52.990,-4.750,2.000,0.008,0.257,0.000,0.097,0.000,0.050,1.940,0.050,0.091,2.400,0.400,0.000,1.110,Non Low Gel
52.720,-4.660,2.000,0.011,0.258,0.000,0.102,0.000,0.050,2.040,0.050,0.111,3.500,0.500,0.000,1.660,Non Low Gel
51.070,-4.750,2.000,0.007,0.261,0.000,0.098,0.000,0.050,1.960,0.050,0.097,3.800,0.700,0.000,1.990,Non Low Gel
52.960,-5.170,2.000,0.007,0.268,0.000,0.100,0.000,0.052,1.923,0.052,0.118,2.400,0.400,0.000,1.190,Non Low Gel
52.560,-5.050,2.000,0.007,0.248,0.000,0.099,0.000,0.051,1.941,0.051,0.103,2.300,0.400,0.000,1.060,Non Low Gel
51.850,-4.840,2.000,0.031,0.242,0.000,0.099,0.000,0.049,2.020,0.049,0.114,2.800,0.400,0.000,1.150,Non Low Gel
52.900,-4.850,2.000,0.007,0.247,0.000,0.098,0.000,0.052,1.885,0.052,0.102,2.200,0.300,0.000,0.950,Low Gel
51.750,-4.950,2.000,0.010,0.243,0.000,0.096,0.000,0.049,1.959,0.049,0.109,5.100,0.500,0.000,2.010,Non Low Gel
52.920,-5.010,2.000,0.011,0.256,0.216,0.102,0.000,0.053,1.925,0.053,0.114,3.200,0.500,0.000,1.430,Non Low Gel
52.560,-5.090,2.000,0.027,0.252,0.000,0.100,0.000,0.051,1.961,0.051,0.120,1.600,0.300,0.000,0.770,Low Gel
52.880,-4.830,2.000,0.009,0.247,0.000,0.097,0.000,0.050,1.940,0.050,0.176,3.000,0.300,0.000,1.140,Low Gel
53.270,-5.270,2.000,0.009,0.239,0.216,0.097,0.000,0.050,1.940,0.050,0.176,5.000,0.800,0.000,2.420,Non Low Gel
53.490,-5.370,2.000,0.004,0.246,0.000,0.098,0.000,0.049,2.000,0.049,0.167,2.300,0.300,0.000,0.920,Low Gel
53.700,-5.030,2.000,0.011,0.245,0.000,0.100,0.000,0.051,1.961,0.051,0.107,3.600,0.400,0.000,1.000,Non Low Gel
53.640,-5.250,2.000,0.007,0.243,0.000,0.098,0.000,0.052,1.885,0.052,0.100,3.100,0.400,0.000,1.440,Non Low Gel
53.880,-5.240,2.000,0.007,0.240,0.000,0.100,0.000,0.051,1.961,0.051,0.110,5.200,0.700,0.000,2.170,Non Low Gel
54.110,-5.070,2.000,0.013,0.245,0.000,0.100,0.000,0.050,2.000,0.050,0.124,3.300,0.400,0.000,1.220,Non Low Gel
53.700,-5.310,2.000,0.011,0.237,0.000,0.100,0.000,0.050,2.000,0.050,0.116,3.000,0.400,0.000,1.450,Non Low Gel
54.530,-4.930,2.000,0.007,0.239,0.000,0.100,0.000,0.051,1.961,0.051,0.091,2.300,0.300,0.000,0.900,Low Gel
53.850,-4.750,2.000,0.018,0.236,0.000,0.098,0.000,0.051,1.922,0.051,0.103,2.600,0.400,0.000,1.170,Non Low Gel
52.920,-5.060,2.000,0.015,0.236,0.000,0.101,0.000,0.050,2.020,0.050,0.113,1.600,0.300,0.000,0.700,Low Gel
54.010,-4.960,2.000,0.009,0.236,0.000,0.098,0.000,0.050,1.960,0.050,0.115,4.400,0.400,0.000,1.410,Non Low Gel
53.170,-5.170,2.000,0.007,0.239,0.000,0.100,0.000,0.053,1.887,0.053,0.107,1.900,0.200,0.000,0.790,Low Gel
52.670,-5.190,2.000,0.016,0.239,0.000,0.100,0.000,0.051,1.961,0.051,0.119,1.700,0.200,0.000,0.750,Low Gel
52.670,-5.190,2.000,0.016,0.239,0.000,0.100,0.000,0.051,1.961,0.051,0.119,1.700,0.200,0.000,0.750,Low Gel
52.660,-5.100,2.000,0.019,0.235,0.000,0.098,0.000,0.050,1.960,0.050,0.109,1.800,0.200,0.000,0.830,Low Gel
53.520,-5.340,2.000,0.003,0.236,0.000,0.102,0.000,0.052,1.962,0.052,0.110,3.000,0.300,0.000,1.200,Low Gel
53.630,-5.120,2.000,0.008,0.236,0.000,0.100,0.000,0.049,2.041,0.049,0.117,2.300,0.500,0.000,1.350,Non Low Gel
53.490,-5.370,2.000,0.010,0.237,0.000,0.099,0.000,0.051,1.941,0.051,0.116,2.300,0.400,0.000,1.100,Non Low Gel
53.640,-5.250,2.000,0.009,0.235,0.000,0.099,0.000,0.051,1.941,0.051,0.110,2.700,0.400,0.000,1.230,Non Low Gel
54.240,-5.130,2.000,0.012,0.239,0.000,0.100,0.000,0.050,2.000,0.050,0.114,2.100,0.300,0.000,0.920,Low Gel
54.240,-5.480,2.000,0.013,0.247,0.000,0.102,0.000,0.052,1.962,0.052,0.109,4.100,0.700,0.000,2.100,Non Low Gel
52.920,-5.110,2.000,0.009,0.253,0.000,0.103,0.000,0.050,2.060,0.050,0.112,2.000,0.400,0.000,1.040,Non Low Gel
